HSim 
[Debug 1]main.cpp | line 151 | #############Opened database successfully 0
[Debug 1]main.cpp | line 155 | SELECT node,parent from net where netid  = 1
[Debug 1]main.cpp | line 112 | selected data col 2
[Debug 1]main.cpp | line 131 | node = 1
[Debug 1]main.cpp | line 131 | parent = 8
[Debug 1]main.cpp | line 112 | selected data col 2
[Debug 1]main.cpp | line 131 | node = 2
[Debug 1]main.cpp | line 131 | parent = 8
[Debug 1]main.cpp | line 112 | selected data col 2
[Debug 1]main.cpp | line 131 | node = 8
[Debug 1]main.cpp | line 131 | parent = 0
[Debug 1]main.cpp | line 112 | selected data col 2
[Debug 1]main.cpp | line 131 | node = 4
[Debug 1]main.cpp | line 131 | parent = 7
[Debug 1]main.cpp | line 112 | selected data col 2
[Debug 1]main.cpp | line 131 | node = 5
[Debug 1]main.cpp | line 131 | parent = 7
[Debug 1]main.cpp | line 112 | selected data col 2
[Debug 1]main.cpp | line 131 | node = 7
[Debug 1]main.cpp | line 131 | parent = 0
[Debug 1]main.cpp | line 158 | r1: rc = 0
[Debug 2]main.cpp | line 48 | Making link for 8
[Debug 2]main.cpp | line 48 | Making link for 0
[Debug 2]main.cpp | line 48 | Making link for 7
[Debug 2]nodeProcessor.cpp | line 60 | Adding child 1 at node 8 
[Debug 2]main.cpp | line 76 | link absent 1 
[Debug 2]messageRouter.cpp | line 50 | Adding link for parent 8 
[Debug 2]messageRouter.cpp | line 31 | Adding Smart meter 1 for parent 8
[Debug 2]nodeProcessor.cpp | line 60 | Adding child 2 at node 8 
[Debug 2]main.cpp | line 76 | link absent 2 
[Debug 2]messageRouter.cpp | line 50 | Adding link for parent 8 
[Debug 2]messageRouter.cpp | line 31 | Adding Smart meter 2 for parent 8
[Debug 2]nodeProcessor.cpp | line 60 | Adding child 8 at node 0 
[Debug 2]main.cpp | line 67 | link exist 8 
[Debug 2]nodeProcessor.cpp | line 33 | Adding parent link 0 at node 8
[Debug 2]nodeProcessor.cpp | line 46 | Adding child *link* 8 at node 0 
[Debug 2]nodeProcessor.cpp | line 60 | Adding child 4 at node 7 
[Debug 2]main.cpp | line 76 | link absent 4 
[Debug 2]messageRouter.cpp | line 50 | Adding link for parent 7 
[Debug 2]messageRouter.cpp | line 31 | Adding Smart meter 4 for parent 7
[Debug 2]nodeProcessor.cpp | line 60 | Adding child 5 at node 7 
[Debug 2]main.cpp | line 76 | link absent 5 
[Debug 2]messageRouter.cpp | line 50 | Adding link for parent 7 
[Debug 2]messageRouter.cpp | line 31 | Adding Smart meter 5 for parent 7
[Debug 2]nodeProcessor.cpp | line 60 | Adding child 7 at node 0 
[Debug 2]main.cpp | line 67 | link exist 7 
[Debug 2]nodeProcessor.cpp | line 33 | Adding parent link 0 at node 7
[Debug 2]nodeProcessor.cpp | line 46 | Adding child *link* 7 at node 0 
[Debug 1]main.cpp | line 85 | -----------------Initialization complete------------------ 0 
[Debug 3]Reader1.cpp | line 29 | Reader run: 9998
[Debug 3]messageRouter.cpp | line 71 | Router run: 9999
[Debug 3]nodeProcessor.cpp | line 86 | processcessor run: 0
[Debug 3]nodeProcessor.cpp | line 86 | processcessor run: 7
[Debug 3]nodeProcessor.cpp | line 86 | processcessor run: 8
[Debug 3]Reader1.cpp | line 44 | Data: 1,1,11.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 1,2,12.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 1,3,13.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 1,4,14.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 1,5,15.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 1,6,16.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 1,8,18.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 2,1,21.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 2,2,22.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 2,3,23.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 2,4,24.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 2,5,25.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 2,6,26.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 3,1,31.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 3,2,32.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 3,3,33.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 3,4,34.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 3,5,35.0,#
[Debug 3]Reader1.cpp | line 44 | Data: 3,6,36.0,#
[Debug 3]Reader1.cpp | line 182 | Send end signal to all threads: 0
[Debug 0]messageRouter.cpp | line 75 | router 9999:received data 
